Продукт,Морозильник (без вакуума),Холодильник (без вакуума),Комнатная температура (без вакуума),Морозильник (с вакуумом),Холодильник (с вакуумом),Комнатная температура (с вакуумом),-20 до -16 (без вакуума),-16 до 12 (без вакуума),-12 до -8 (без вакуума),-8 до -4 (без вакуума),-4 до 0 (без вакуума),0 до 4 (без вакуума),4 до 8 (без вакуума),8 до 12 (без вакуума),12 до 16 (без вакуума),16 до 20 (без вакуума),-20 до -16 (с вакуумом),-16 до 12 (с вакуумом),-12 до -8 (с вакуумом),-8 до -4 (с вакуумом),-4 до 0 (с вакуумом),0 до 4 (с вакуумом),4 до 8 (с вакуумом),8 до 12 (с вакуумом),12 до 16 (с вакуумом),16 до 20 (с вакуумом)
Какао,180-360 суток,60-90 суток,2-3 суток,30-60 суток,3-5 суток,1-2 суток,90-120 суток,60-90 суток,30-60 суток,14-28 суток,7-14 суток,3-5 суток,3-5 суток,1-2 суток,1-2 суток,1-2 суток,270-360 суток,180-270 суток,120-180 суток,90-120 суток,60-90 суток,30-60 суток,14-30 суток,7-10 суток,3-5 суток,1-2 суток
Сок,240-360 суток,2-3 суток,2 часа,30-60 суток,3-5 суток,1-2 суток,90-120 суток,60-90 суток,30-60 суток,14-28 суток,7-14 суток,3-5 суток,3-5 суток,1-2 суток,1-2 суток,1-2 суток,270-360 суток,180-270 суток,120-180 суток,90-120 суток,60-90 суток,30-60 суток,14-30 суток,7-10 суток,3-5 суток,1-2 суток
Кола,не более 1 часа,1-2 суток,5 часов,180-270 суток,90-120 суток,30-60 суток,365 суток,270-360 суток,180-270 суток,120-180 суток,90-120 суток,60-90 суток,45-60 суток,30-60 суток,30-60 суток,30-60 суток,360 суток,270-360 суток,180-270 суток,150-180 суток,120-150 суток,120-180 суток,90-120 суток,60-90 суток,45-60 суток,30-45 суток
Кисель,60-90 суток,3-4 суток,1 сутки,180-360 суток,60-90 суток,7-14 суток,180-360 суток,90-180 суток,60-90 суток,30-60 суток,7-14 суток,5-7 суток,3-5 суток,2-3 суток,1-2 суток,1 сутки,300-360 суток,250-300 суток,200-250 суток,150-200 суток,120-150 суток,60-120 суток,30-60 суток,14-28 суток,7-10 суток,5-7 суток
Компот,60-90 суток,3-4 суток,3 часа,300-360 суток,60-90 суток,6-12 суток,180-360 суток,90-180 суток,60-90 суток,30-60 суток,7-14 суток,5-7 суток,3-5 суток,1-2 суток,1 сутки,3 часа,300-360 суток,270-300 суток,180-270 суток,120-180 суток,90-120 суток,60-90 суток,30-60 суток,14-30 суток,10-14 суток,5-7 суток
Квас,60-90 суток,3-4 суток,1-2 суток,180-360 суток,14-28 суток,6-12 суток,180-360 суток,90-180 суток,60-90 суток,30-60 суток,7-14 суток,5-7 суток,3-5 суток,1-2 суток,1 сутки,3 часа,270-360 суток,180-270 суток,120-180 суток,90-120 суток,60-90 суток,45-60 суток,30-45 суток,14-28 суток,7-14 суток,3-7 суток
Тыква,120-180 суток,4-5 суток,2-3 суток,240-360 суток,14-21 суток,2-3 суток,180-240 суток,120-180 суток,60-90 суток,30-60 суток,7-21 сутки,7 суток,3-5 суток,2-4 суток,1-2 суток,1-2 суток,180-360 суток,120-180 суток,90-120 суток,60-90 суток,30-60 суток,14-28 суток,10-14 суток,7-10 суток,5-7 суток,1-2 суток
Ананас,180-240 суток,3-5 суток,1-2 суток,240-360 суток,4-7 суток,1-2 суток,240-360 суток,180-240 суток,120-180 суток,60-90 суток,7-14 суток,7 суток,3-5 суток,2-4 суток,1-2 суток,5 часов,90-120 суток,60-90 суток,45-60 суток,28-45 суток,14-28 суток,10-14 суток,7-10 суток,5-7 суток,2-3 суток,1-2 суток
Лимон,90-120 суток,2-3 суток,5 часов,90-120 суток,14-28 суток,5-7 суток,180-240 суток,120-180 суток,60-90 суток,30-60 суток,14-21 сутки,7 суток,3-5 суток,2-4 суток,1-2 суток,1 сутки,180-360 суток,120-180 суток,90-180 суток,60-90 суток,45-60 суток,30-45 суток,14-28 суток,7-14 суток,5-7 суток,2-3 суток
Картофель,90-120 суток,7-21 сутки,1-2 суток,300-360 суток,14-21 суток,7-14 суток,300-360 суток,240-300 суток,180-240 суток,120-180 суток,60-120 суток,30-60 суток,14-21 сутки,7-14 суток,5-7 суток,3-5 суток,300-360 суток,240-300 суток,180-240 суток,120-180 суток,90-120 суток,60-90 суток,30-60 суток,30 суток,14-28 суток,7-14 суток
